"","isNorthern","Too many boats","Breach freq","Tail swipe freq","Mean speed","Mean downtime","Straightness","Sinuosity","Date"
"1",TRUE,FALSE,0,0,7.68832528681076,131,0.918991648793914,0.0342345438824722,"2010-06-08 pm"
"2",TRUE,TRUE,0,0,6.88801659649581,232.272727272727,0.972830178981029,0.0219465788842484,"2010-06-09 pm"
"3",TRUE,TRUE,0.000178635226866738,0,7.1346437795165,209.166666666667,0.890977005597882,0.0578640700227599,"2010-06-11 am"
"4",TRUE,FALSE,0,0,8.4931168125039,154.333333333333,0.883925996461237,0.0226751415025842,"2010-06-11 pm"
"5",TRUE,FALSE,0,0,9.4712170766652,158,0.857975772190137,0.0161503962239976,"2010-06-12 am"
"6",TRUE,FALSE,0,0,6.507634656397,213.833333333333,0.99711820510012,0.00392516355244214,"2010-06-13 am"
"7",TRUE,FALSE,0.000351370344342937,0,8.32598149730268,206.5,0.988170240895532,0.00922202704390237,"2010-06-13 pm"
"8",TRUE,FALSE,0,0,2.93245765423469,144,0.909957448311097,0.0367001006329174,"2010-06-15 pm"
"9",TRUE,FALSE,0,0,7.38374394921897,259,0.990697343895442,0.00646439265531067,"2010-06-18 am"
"10",TRUE,TRUE,0,0.00114025085518814,6.32171660393697,161.75,0.739496424758186,0.0692772148379234,"2010-06-19 pm"
"11",TRUE,TRUE,0.00322234156820623,0,6.94180907176647,143.333333333333,0.762428335549333,0.0651785195458865,"2010-06-20 pm"
"12",TRUE,FALSE,0.000370096225018505,0.00111028867505551,6.71335004246429,203,0.954074767934744,0.0221357227635918,"2010-06-22 pm"
"13",TRUE,FALSE,0,0,5.40579021181466,286.375,0.984348576275747,0.0252506927431804,"2010-06-24 am"
"14",TRUE,FALSE,0,0,7.15305149310726,157.8,0.90966281554105,0.0902751811966005,"2010-06-24 pm"
"15",TRUE,TRUE,0,0,9.61422190646651,136,0.947695122167493,0.00899485892779973,"2010-06-27 am"
"16",TRUE,FALSE,0,0,4.8575969891387,266.333333333333,0.91012245878186,0.0491140390445959,"2010-06-29 am"
"17",TRUE,FALSE,0.000400320256204964,0.00120096076861489,5.94829168706048,166,0.967147776798577,0.0232100797716041,"2010-06-30 am"
"18",TRUE,FALSE,0,0,9.97907768690006,194,0.883961091590356,0.0316620254560764,"2010-07-01 am"
"19",TRUE,FALSE,0,0.00124300807955252,7.6072919820813,0,0.988035902353851,0.00864015682768868,"2010-07-03 pm"
"20",TRUE,FALSE,0,0.000347101700798334,11.4161729587289,137.5,0.944636512451127,0.00800425664202671,"2010-07-04 am"
"21",TRUE,FALSE,0,0,7.30136450936037,152.4,0.942235089605408,0.102610998618117,"2010-07-05 am"
"22",TRUE,TRUE,0,0,7.31772600760354,220.5,0.7721434199705,0.0552216541272146,"2010-07-10 pm"
"23",TRUE,TRUE,0,0,7.97997477953594,222,0.89879922848136,0.0190449985184922,"2010-07-11 am"
"24",TRUE,FALSE,0,0,8.23954444706827,0,0.846343997162296,0.0420167398308225,"2010-07-18 am"
"25",TRUE,FALSE,0,0,4.80180340538145,0,0.991272496901676,0.00785927304261257,"2010-07-21 pm"
"26",TRUE,FALSE,0,0,9.0546700124276,181,0.978607693868231,0.0113561540468994,"2010-07-22 am"
"27",TRUE,FALSE,0,0,7.79492625883008,327.5,0.931123975876617,0.042659410135193,"2010-07-24 am"
"28",TRUE,TRUE,0,0,6.52853841736414,140.25,0.978168947289546,0.0488433984207661,"2010-07-25 am"
"29",TRUE,FALSE,0,0,8.18494170897229,147.5,0.776151127752623,0.0354483358922251,"2010-07-30 pm"
"30",TRUE,TRUE,0,0.000297973778307509,6.04895805533294,159,0.884035332437946,0.105086551297059,"2010-07-31 pm"
"31",FALSE,TRUE,0.000547745115939383,0.00401679751688881,3.65729252619205,178.8,0.559142433753306,0.0860111560162527,"2010-10-06 am"
"32",FALSE,FALSE,0,0.00111358574610245,3.08439552285216,214.4,0.40998550604407,0.100168106253203,"2010-10-06 pm"
"33",FALSE,FALSE,0,0,5.26466810278847,222.444444444444,0.972272206967179,0.0390665610583049,"2010-10-06 pm"
"34",FALSE,FALSE,0.00365965233302836,0.000914913083257091,6.58325868490676,161,0.247583581388253,0.0600663681061855,"2010-10-07 pm"
"35",FALSE,FALSE,0,0,4.97063467224382,232,0.946980577980732,0.0679183981204627,"2010-10-08 am"
"36",FALSE,FALSE,0.0170603674540682,0.00393700787401575,5.8446588769202,167,0.2582868067985,0.0549856042578696,"2010-10-10 am"
"37",FALSE,FALSE,0,0,4.49209181361277,130.5,0.97558732468927,0.0190417697408997,"2010-10-10 pm"
"38",FALSE,FALSE,0,0.000397298371076679,7.48634996621733,0,0.832097437201791,0.0198927061092228,"2010-10-11 am"
"39",FALSE,TRUE,0.0188452285485164,0.00160384923817161,4.60849399846352,180,0.852136900580899,0.0791077688914578,"2010-10-17 pm"
"40",FALSE,TRUE,0,0,4.34041535596891,219.714285714286,0.589074101867561,0.0637771206192223,"2010-10-23 am"
"41",FALSE,FALSE,0,0,6.32995501462851,174.5,0.657318324404109,0.072601004807954,"2010-10-27 pm"
"42",FALSE,FALSE,0,0,5.20174472789403,183.666666666667,0.969409080574935,0.014204311457083,"2010-10-29 am"
"43",FALSE,TRUE,0,0,3.61139231986352,230.461538461538,0.61889889841381,0.0846528041765136,"2010-10-29 pm"
"44",FALSE,TRUE,0,0,8.2657998570034,223.5,0.895372338681998,0.064246758041643,"2010-10-30 am"
"45",FALSE,FALSE,0.00166251039068994,0.000415627597672485,6.58282652082423,211.2,0.944994210890119,0.0344658485070545,"2010-11-03 pm"
"46",FALSE,FALSE,0.000270124257158293,0,4.79117170689701,174.777777777778,0.897076154761956,0.0290300767683169,"2010-11-06 pm"
"47",FALSE,FALSE,0,0,5.24250026303599,185.777777777778,0.887245270750309,0.0377061687758101,"2010-11-11 am"
"48",FALSE,FALSE,0.00112688753662384,0,5.84910272670569,176,0.855235799435181,0.0195983463710073,"2010-11-12 pm"
"49",FALSE,FALSE,0.0041958041958042,0.0034965034965035,6.3467704291417,127,0.799132286950777,0.0723595299956863,"2010-11-12 pm"
"50",FALSE,FALSE,0,0,4.21729220207686,212.428571428571,0.923989647535891,0.0521880454329798,"2010-11-23 am"
